study_id,author,year,reason
3,Tomisawa T,2019,Blood pressure not measured
10,Pekas EJ,2021,No data reported for the control condition
14,Igwe EO,2020,Blood pressure not reported by group
16,Horiuchi M,2025,Blood pressure measured only during exercise
17,Charoenwoodhipong P,2023,No dispersion measure for the reported change
18,Aboo Bakkar Z,2019,Blood pressure not measured
21,Ellis LR,2026,No dispersion measure reported for outcome values
22,Ahles S,2020,Changes reported without a complete dispersion measure
26,Hollands WJ,2018,Blood pressure tabulated without usable dispersion
27,Pokimica B,2019,Non-parametric data (medians with interquartile range)
29,Pedret A,2024,Blood pressure only in supplementary tables without dispersion
31,Jin Y,2011,Blood pressure not a primary outcome
32,Curtis PJ,2019,Duplicate publication of study 31
36,Curtis PJ,2022,"Duplicate of study 34, reported with confidence intervals"
38,Cook MD,2025,Post-exercise changes without dispersion for direct comparison
43,Istas G,2018,Blood pressure not measured
44,Cook MD,2017,Data presented only graphically without numerical dispersion
52,Cook MD,2017,Blood pressure measured only during isometric contraction
54,Balestra C,2016,Blood pressure not reported
56,Xie L,2017,Duplicate of study 54
57,Hassellund SS,2013,Blood pressure values not reported in tables
58,Del Bó C,2013,Shared cohort with study 12
60,Montanari S,2026,Change reported without dispersion
61,Desai T,2018,Blood pressure measured only during isometric exercise
63,Nwachukwu DC,2015,Pre-post design without a control group
64,Hansen AS,2005,Change reported without dispersion
65,Lee E,2026,No numerical blood pressure values reported
66,Betanzos-Cabrera G,2026,Changes reported without dispersion
67,Kiani M,2026,Non-parametric data (medians with interquartile range)
70,Sahin MA,2023,Data presented graphically without numerical dispersion
71,Lim JH,2025,Conference abstract only
73,Akagi R,2024,Full text not retrievable
74,Dehkhoda B,2024,Blood pressure table not legible
75,Montanari S,2023,Duplicate of study 61
78,Hassellund S,2010,Shared cohort with study 12
79,Del Bo C,2011,"Meta-analysis, not a primary study"
81,Sangild J,2023,Blood pressure not reported
82,Rouyer O,2019,Postprandial vascular outcome without blood pressure dispersion
84,Zibadi S,2007,Complex extract not attributable to anthocyanins
86,Thanasatirakul P,2015,Change reported without dispersion
