study_id,author,year,design,corr_r,shared_ctrl_id,source,form,anthocyanin_dose_mg_day,dose_quantified,duration_weeks,duration_band,bp_status,population,outcome,n_int,mean_int,sd_int,n_ctrl,mean_ctrl,sd_ctrl,rob2_overall,notes
1,Wood,2023,parallel,,,blueberry,food,302,y,12,long,normotensive,older adults,SBP,27,0,6.3,27,3.59,6.3,some concerns,[EFFECT RECOVERED] between-group MD and 95% CI reported without arm-level means. SE obtained from the interval width; SD obtained as SE/sqrt(1/n1+1/n2). Means coded as 0 and -MD so their difference reproduces the reported effect.
2,Chiu,2022,crossover,,,roselle,juice,330,y,26,long,hypertensive,adults,SBP,39,137.28,15.2,39,139.82,12.86,some concerns,"POST Table 2, 6 months."
2,Chiu,2022,crossover,,,roselle,juice,330,y,26,long,hypertensive,adults,DBP,39,88.56,12.69,39,91.95,10.51,some concerns,POST Table 2.
4,Arisi,2023,parallel,,,acai-jucara,juice,294,y,12,long,normotensive,overweight adults,SBP,30,116.5,10.5,25,118.6,12.1,some concerns,POST Table 3.
4,Arisi,2023,parallel,,,acai-jucara,juice,294,y,12,long,normotensive,overweight adults,DBP,30,76.3,7.7,25,77.8,7,some concerns,POST Table 3.
5,Shan,2023,crossover,,,NZBC,extract,210,y,0,acute,normotensive,physically active,SBP,15,-5.6,6.4,15,-3.5,6,some concerns,CHANGE from baseline 2h post-exercise at rest.
6,Ahles,2026,parallel,,,aronia,extract,40,y,6,medium,normotensive,older overweight,SBP,30,125,17,30,127,13,low,POST Table 2.
6,Ahles,2026,parallel,,,aronia,extract,40,y,6,medium,normotensive,older overweight,DBP,30,79,8,30,79,8,low,POST Table 2.
7,Zhu,2011,parallel,,,purified,purified,320,y,12,long,normotensive,hypercholesterolemic,SBP,73,119.5,12.5,73,123.8,15,some concerns,POST Table 1.
7,Zhu,2011,parallel,,,purified,purified,320,y,12,long,normotensive,hypercholesterolemic,DBP,73,82.8,10.5,73,81.2,9.1,some concerns,POST Table 1.
8,Amini,2025,crossover,,,blackcurrant,juice,711,y,0,acute,normotensive,healthy middle-aged,SBP,23,0.2,6.2,23,1.5,4.8,some concerns,CHANGE 6h. SD derived as SEM x sqrt(n).
8,Amini,2025,crossover,,,blackcurrant,juice,711,y,0,acute,normotensive,healthy middle-aged,DBP,23,-3.6,4.3,23,-2.7,3.4,some concerns,CHANGE 6h. SD derived as SEM x sqrt(n).
9,Li,2020,crossover,,,blood orange,juice,96,y,2,short,normotensive,overweight/obese,SBP,15,108,11,15,108,11,some concerns,POST Table 2.
9,Li,2020,crossover,,,blood orange,juice,96,y,2,short,normotensive,overweight/obese,DBP,15,69,7,15,70,8,some concerns,POST Table 2.
11,do Rosario,2021,crossover,,,queen garnet plum,juice,200,y,0,acute,normotensive,overweight older,SBP,16,117.7,10.6,16,116.3,12.6,some concerns,"POST Table 4, 2h postprandial."
11,do Rosario,2021,crossover,,,queen garnet plum,juice,200,y,0,acute,normotensive,overweight older,DBP,16,66.6,5.5,16,67.4,7.3,some concerns,POST Table 4.
12,Hassellund,2012,crossover,,,medox,purified,640,y,4,short,prehypertensive,prehypertensive men,SBP,27,135,10.4,27,133,10.4,some concerns,POST Table 2. SD derived as SEM x sqrt(n). Shared cohort with ID58 and ID78; only this record contributes.
12,Hassellund,2012,crossover,,,medox,purified,640,y,4,short,prehypertensive,prehypertensive men,DBP,27,83,5.2,27,82,5.2,some concerns,POST Table 2. SD derived as SEM x sqrt(n).
13,Tucci,2024,crossover,,,blueberry,food,480,y,0,acute,normotensive,older adults,SBP,16,117,6,16,118,6,some concerns,"POST Table 2, 2h post-ingestion."
13,Tucci,2024,crossover,,,blueberry,food,480,y,0,acute,normotensive,older adults,DBP,16,75,4,16,76,4,some concerns,POST Table 2.
15,Cook,2020,crossover,,,NZBC,extract,210,y,1,acute,normotensive,older adults,SBP,14,130,12,14,136,14,some concerns,"POST Figure 2-3, 7 days. SDs reported in the figure legend."
15,Cook,2020,crossover,,,NZBC,extract,210,y,1,acute,normotensive,older adults,DBP,14,78,6,14,84,11,some concerns,POST Figure 3.
19,Kimble,2021,parallel,,,montmorency cherry,juice,72,y,4,short,normotensive,healthy adults,SBP,12,127.5,16.4,11,121.8,11.1,some concerns,"POST Table 2, 4 weeks."
19,Kimble,2021,parallel,,,montmorency cherry,juice,72,y,4,short,normotensive,healthy adults,DBP,12,66.8,6.3,11,63.3,7.9,some concerns,POST Table 2.
42,Curtis,2009,parallel,,,elderberry,extract,500,y,12,long,normotensive,postmenopausal women,SBP,26,124,13,26,124,15,some concerns,POST Table 1.
42,Curtis,2009,parallel,,,elderberry,extract,500,y,12,long,normotensive,postmenopausal women,DBP,26,77,7,26,80,10,some concerns,POST Table 1.
46,Riso,2013,crossover,,,wild blueberry,food,375,y,6,medium,normotensive,CVD risk males,SBP,18,122,16,18,120,16,some concerns,POST Table 4.
46,Riso,2013,crossover,,,wild blueberry,food,375,y,6,medium,normotensive,CVD risk males,DBP,18,81.4,8.8,18,78.8,8.5,some concerns,POST Table 4.
