NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT07734948,Cardiovascular Effects of Purple-Fleshed Potatoes,https://clinicaltrials.gov/study/NCT07734948,NOT_YET_RECRUITING,PRE-HYPERTENSION,OTHER: Purple flesh potato|OTHER: White flesh potato,"Instituto de Investigacion Nutricional, Peru","Centro Internacional de la Papa|University of California, Davis",INTERVENTIONAL
NCT01185067,Physiological Effects of Grape Seed Extract in Diastolic Heart Failure,https://clinicaltrials.gov/study/NCT01185067,COMPLETED,Diastolic Heart Failure|Hypertensive Heart Disease|Heart Failure With Preserved Ejection Fraction|Hypertension|Oxidative Stress,"DRUG: grape seed extract (MegaNatural BP, Polyphenolics, Inc.)",University of Michigan,,INTERVENTIONAL
NCT02234648,To Investigate the Effect of Tart Montmorency Cherry Juice (Prunus Cerasus) on Vascular Function.,https://clinicaltrials.gov/study/NCT02234648,COMPLETED,Hypertension,DIETARY_SUPPLEMENT: 60mL tart Montmorency cherry juice|OTHER: Placebo,Northumbria University,,INTERVENTIONAL
NCT07175597,Pilot Trial of Hibiscus Drink During Pregnancy (PTHDDP),https://clinicaltrials.gov/study/NCT07175597,COMPLETED,Pregnant Woman,DIETARY_SUPPLEMENT: Hibiscus sabdariffa drink,Victor Eduardo Alcantar Rodríguez,"National Polytechnic Institute, Mexico",INTERVENTIONAL
NCT03615885,Acute Cardio-metabolic Responses to Montmorency Tart Cherry Supplementation in Metabolic Syndrome Patients,https://clinicaltrials.gov/study/NCT03615885,COMPLETED,Metabolic Syndrome|Insulin Resistance|Hypertension,DIETARY_SUPPLEMENT: Montmorency Tart Cherry Capsules|DIETARY_SUPPLEMENT: Montmorency Tart Cherry Juice|DIETARY_SUPPLEMENT: Placebo,University of Hertfordshire,Heart UK,INTERVENTIONAL
NCT03619941,Continuous Tart Cherry Juice Supplementation With Metabolic Syndrome Participants,https://clinicaltrials.gov/study/NCT03619941,COMPLETED,Metabolic Syndrome|Insulin Resistance|Hypertension,DIETARY_SUPPLEMENT: Montmorency Tart Cherry Juice|DIETARY_SUPPLEMENT: Placebo,University of Hertfordshire,,INTERVENTIONAL
NCT01564498,Effects of Purple Vegetables on Cardiovascular Disease (CVD) Risk Factors,https://clinicaltrials.gov/study/NCT01564498,UNKNOWN,Hypertension|Hypercholesterolemia|Type II Diabetes|Obesity|Inflammation,OTHER: vegetable,University of Guelph,"Ontario Ministry of Agriculture, Food and Rural Affairs",INTERVENTIONAL
NCT05956106,Effect of Mulberry Fruit Powder in Metabolic Syndrome,https://clinicaltrials.gov/study/NCT05956106,UNKNOWN,Metabolic Syndrome,DIETARY_SUPPLEMENT: Black Mulberry Fruit Powder,"University of Veterinary and Animal Sciences, Lahore - Pakistan",,INTERVENTIONAL
NCT04339283,Effect of Standardized Hibiscus Sabdariffa Tea in Seemingly Healthy Human Volunteers,https://clinicaltrials.gov/study/NCT04339283,COMPLETED,Healthy Human Volunteers,DIETARY_SUPPLEMENT: Standardized Hibiscus sabdariffa tea,University of Ibadan,,INTERVENTIONAL
NCT04380025,Mirtogenol and Bimatoprost on IOP in Hispanics With Open-Angle Glaucoma,https://clinicaltrials.gov/study/NCT04380025,UNKNOWN,Glaucoma,DIETARY_SUPPLEMENT: Experimental: Oral Mirtogenol|DIETARY_SUPPLEMENT: Placebo of oral Dietary supplement,University of Puerto Rico,,INTERVENTIONAL
NCT01399138,The Effect of Blueberry Powder Supplementation on Cardiovascular Risk Factors in Subjects With the Metabolic Syndrome,https://clinicaltrials.gov/study/NCT01399138,WITHDRAWN,Metabolic Syndrome,DIETARY_SUPPLEMENT: Blueberry Powder,Pennington Biomedical Research Center,U.S. Highbush Blueberry Council|United States Department of Agriculture (USDA),INTERVENTIONAL
