Study,D1,D2,D3,D4,D5,D6,Overall,Weight
Wood 2023 [ID1],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Chiu 2022 [ID2],Low,Low,Low,Low,Some concerns,Some concerns,Some concerns,1
Tomisawa 2019 [ID3],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Arisi 2023 [ID4],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Shan 2023 [ID5],Low,Low,Low,Low,Low,Some concerns,Some concerns,1
Ahles 2026 [ID6],Low,Low,Low,Low,Low,NA,Low,1
Zhu 2011 [ID7],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Amini 2025 [ID8],Low,Low,Low,Low,Low,Some concerns,Some concerns,1
Li 2020 [ID9],Low,Low,Low,Low,Low,Some concerns,Some concerns,1
Pekas 2021 [ID10],Low,Low,Low,Low,Low,Some concerns,Some concerns,1
do Rosario 2021 [ID11],Low,Low,Low,Low,Some concerns,Some concerns,Some concerns,1
Hassellund 2012 [ID12],Low,Low,Low,Low,Some concerns,Some concerns,Some concerns,1
Tucci 2024 [ID13],Low,Low,Low,Low,Some concerns,Some concerns,Some concerns,1
Igwe 2020 [ID14],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Cook 2020 [ID15],Low,Low,Low,Low,Some concerns,Some concerns,Some concerns,1
Horiuchi 2025 [ID16],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Charoenwoodhipong 2023 [ID17],Some concerns,Low,Low,Low,Some concerns,NA,Some concerns,1
Aboo Bakkar 2019 [ID18],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Kimble 2021a [ID19],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Ellis 2026 [ID21],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Ahles 2020 [ID22],Low,Low,Some concerns,Low,Low,NA,Some concerns,1
Desai 2021 [ID23],Low,Low,Low,Low,Some concerns,Some concerns,Some concerns,1
Igwe 2017 [ID25],Low,Low,Low,Low,Some concerns,Some concerns,Some concerns,1
Hollands 2018 [ID26],Low,Low,Low,Low,Low,Some concerns,Some concerns,1
Pokimica 2019 [ID27],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Pedret 2024 [ID29],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Rodriguez-Mateos 2013 [ID30],Low,Low,Low,Low,Some concerns,Some concerns,Some concerns,1
Jin 2011 [ID31],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Curtis 2019 [ID32],Low,Low,Some concerns,Low,Low,NA,Some concerns,1
Maeda-Yamamoto 2018 [ID33],Low,Some concerns,Low,Low,Some concerns,NA,Some concerns,1
Lynn 2014 [ID34],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
McAnulty 2014 [ID35],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Curtis 2022 [ID36],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Okamoto 2020 [ID37],Low,Low,Low,Low,Low,Some concerns,Some concerns,1
Cook 2025 [ID38],Low,Low,Low,Low,Low,Some concerns,Some concerns,1
Liu 2025 [ID39],Low,Low,Low,Low,Low,NA,Low,1
Parklak 2024 [ID40],Low,Low,Low,Low,Some concerns,Some concerns,Some concerns,1
Curtis 2009 [ID42],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Istas 2018 [ID43],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Cook 2017a [ID44],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Herrera-Arellano 2004 [ID45],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Riso 2013 [ID46],Low,Low,Low,Low,Some concerns,Some concerns,Some concerns,1
Cheng 2024 [ID47],Low,Low,Low,Low,Low,NA,Low,1
Kimble 2021b [ID49],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Hillman 2026 [ID50],Some concerns,High,Low,Some concerns,Low,NA,High,1
Dohadwala 2011 [ID51],Low,Low,Low,Low,Low,Some concerns,Some concerns,1
Cook 2017b [ID52],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Keane 2016a [ID53],Low,Low,Low,Low,Some concerns,Some concerns,Some concerns,1
Balestra 2016 [ID54],Some concerns,Low,Low,Low,Some concerns,NA,Some concerns,1
Chan 2021 [ID55],Low,Low,Low,Low,Some concerns,Some concerns,Some concerns,1
Xie 2017 [ID56],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Hassellund 2013 [ID57],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Del Bo 2013 [ID58],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Herrera-Arellano 2007 [ID59],Low,Low,Low,Low,Some concerns,Some concerns,Some concerns,1
Montanari 2026 [ID60],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Desai 2018 [ID61],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Nwachukwu 2015 [ID63],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Hansen 2005 [ID64],Low,Some concerns,Low,Low,Low,NA,Some concerns,1
Lee 2026 [ID65],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Betanzos-Cabrera 2026 [ID66],Some concerns,Low,Low,Low,Some concerns,NA,Some concerns,1
Kiani 2026 [ID67],Low,Low,Some concerns,Low,Low,NA,Some concerns,1
Montanari 2021 [ID68],Low,Low,Low,Low,Some concerns,Some concerns,Some concerns,1
Asgary 2014 [ID69],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Sahin 2023 [ID70],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Lim 2025 [ID71],Low,Some concerns,Some concerns,Low,Low,NA,Some concerns,1
Zingales 2025 [ID72],Low,Some concerns,Low,Low,Low,Some concerns,Some concerns,1
Akagi 2024 [ID73],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Dehkhoda 2024 [ID74],Low,Low,Some concerns,Low,Low,NA,Some concerns,1
Montanari 2023 [ID75],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Stote 2020 [ID76],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Bell 2019 [ID77],Low,Low,Low,Low,Some concerns,Some concerns,Some concerns,1
Hassellund 2010 [ID78],Low,Low,Low,Low,Some concerns,Some concerns,Some concerns,1
Del Bo 2011 [ID79],Some concerns,Low,Low,Low,Some concerns,NA,Some concerns,1
Sangild 2023 [ID81],Low,Low,Some concerns,Low,Low,NA,Some concerns,1
Rouyer 2019 [ID82],Low,Some concerns,Low,Low,Low,NA,Some concerns,1
Draijer 2015 [ID83],Low,Low,Low,Low,Some concerns,Some concerns,Some concerns,1
Zibadi 2007 [ID84],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Khan 2014 [ID85],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Thanasatirakul 2015 [ID86],Low,Low,Low,Low,Some concerns,NA,Some concerns,1
Finkel 2013 [ID88],Low,Low,Low,Low,Some concerns,Some concerns,Some concerns,1
