record_id,db_source,author,year,title,doi,reviewer1,reviewer2,reviewer3,exclusion_reason
1,WoS,Arisi,2023,"Dietary intake of anthocyanins improves arterial stiffness, but not endothelial function, in volunteers with excess weight: A randomized clinical trial",10.1002/ptr.7659,include,include,include,
2,WoS,Tsang,2018,Antioxidant Rich Potato Improves Arterial Stiffness in Healthy Adults,10.1007/s11130-018-0673-2,include,include,include,
3,WoS,Parmenter,2022,Higher habitual dietary flavonoid intake associates with lower central blood pressure and arterial stiffness in healthy older adults,10.1017/s000711452100324x,include,include,include,
4,WoS,Lilamand,2014,Flavonoids and arterial stiffness: Promising perspectives,10.1016/j.numecd.2014.01.015,exclude,exclude,exclude,Review or non-original article
5,WoS,Fairlie-Jones,2017,The Effect of Anthocyanin-Rich Foods or Extracts on Vascular Function in Adults: A Systematic Review and Meta-Analysis of Randomised Controlled Trials,10.3390/nu9080908,include,include,include,
6,WoS,Li,2020,Blood Orange Juice Consumption Increases Flow-Mediated Dilation in Adults with Overweight and Obesity: A Randomized Controlled Trial,10.1093/jn/nxaa158,include,include,include,
7,WoS,Mcanulty,2019,Time course of blueberry ingestion on measures of arterial stiffness and blood pressure,10.3233/jbr-190413,include,include,include,
8,WoS,Jennings,2012,Higher anthocyanin intake is associated with lower arterial stiffness and central blood pressure in women,10.3945/ajcn.112.042036,include,include,include,
9,WoS,Woolf,2023,Protective effects of blueberries on vascular function: A narrative review of preclinical and clinical evidence,10.1016/j.nutres.2023.09.007,exclude,exclude,exclude,Review or non-original article
10,WoS,Lynn,2014,Effect of a Tart Cherry Juice Supplement on Arterial Stiffness and Inflammation in Healthy Adults: A Randomised Controlled Trial,10.1007/s11130-014-0409-x,include,include,include,
11,WoS,Dohadwala,2011,Effects of cranberry juice consumption on vascular function in patients with coronary artery disease,10.3945/ajcn.110.004242,include,include,include,
12,WoS,Clark,2015,Efficacy of flavonoids in the management of high blood pressure,10.1093/nutrit/nuv048,exclude,exclude,exclude,Review or non-original article
13,WoS,Khani,2025,A systematic review of the mechanisms of cardiovascular disease reduction by dietary flavonoids: the impact of anthocyanins on flow-mediated dilation and blood rheology,10.1186/s40795-025-01086-2,include,include,include,
14,WoS,Ellis,2024,Effects of Anthocyanins on Cognition and Vascular Function: A Systematic Review,10.1002/mnfr.202300502,include,include,include,
15,WoS,Okamoto,2020,"Effects of blackcurrant extract on arterial functions in older adults: A randomized, double-blind, placebo-controlled, crossover trial",10.1080/10641963.2020.1764015,include,include,include,
16,WoS,Wood,2023,Wild blueberry (poly)phenols can improve vascular function and cognitive performance in healthy older individuals: a double-blind randomized controlled trial,10.1016/j.ajcnut.2023.03.017,include,include,include,
17,WoS,Kay,2012,"Relative impact of flavonoid composition, dose and structure on vascular function: A systematic review of randomised controlled trials of flavonoid-rich food products",10.1002/mnfr.201200363,include,include,include,
18,WoS,Kimble,2021,The influence of tart cherries (Prunus Cerasus) on vascular function and the urinary metabolome: a randomised placebo-controlled pilot study,10.1017/jns.2021.68,include,include,include,
19,WoS,Yamashita,2020,"Black Soybean Improves Vascular Function and Blood Pressure: A Randomized, Placebo Controlled, Crossover Trial in Humans",10.3390/nu12092755,include,include,include,
20,WoS,Liu,2025,"Purified Anthocyanins Indicated No Significant Effect on Arterial Stiffness, Four-Limb Blood Pressures and Cardiovascular Risk-A 12-Week Dose-Response Trial in Chinese Middle-Aged and Elderly Adults with Hyperglycemia",10.3390/nu18010112,include,include,include,
21,WoS,Guevara,2026,Effects of Oral Berry Supplementation on Blood Pressure in Adults with Hypertension or Elevated Blood Pressure: A Systematic Review and Meta-Analysis of Randomized Controlled Trials,10.3390/nu18101504,include,include,include,
22,WoS,Johnson,2020,Effects of Montmorency Tart Cherry Juice Consumption on Cardiometabolic Biomarkers in Adults with Metabolic Syndrome: A Randomized Controlled Pilot Trial,10.1089/jmf.2019.0240,include,include,include,
23,WoS,Amini,2025,"Acute Effects of an Anthocyanin-Rich Blackcurrant Beverage on Markers of Cardiovascular Disease Risk in Healthy Adults: A Randomized, Double-Blind, Placebo-Controlled, Crossover Trial",10.1016/j.tjnut.2025.05.017,include,include,include,
24,WoS,Hügel,2016,Polyphenol protection and treatment of hypertension,10.1016/j.phymed.2015.12.012,exclude,exclude,exclude,Review or non-original article
25,WoS,Huang,2021,"Strawberry Consumption, Cardiometabolic Risk Factors, and Vascular Function: A Randomized Controlled Trial in Adults with Moderate Hypercholesterolemia",10.1093/jn/nxab034,include,include,include,
26,WoS,Mozos,2021,Effects of Anthocyanins on Vascular Health,10.3390/biom11060811,exclude,exclude,exclude,Review or non-original article
