record_id,db_source,author,year,title,doi,,reviewer1,reviewer2,reviewer3,exclusion_reason
1,PubMed-RCT,Wood E,2023,Wild blueberry (poly)phenols can improve vascular function and cognitive  performance in healthy older individuals: a double-blind randomized controlled trial.,10.1016/j.ajcnut.2023.03.017,,include,include,include,
2,PubMed-RCT,Chiu HF,2022,Improvement on blood pressure and skin using roselle drink: A clinical trial.,10.1111/jfbc.14287,,include,include,include,
3,PubMed-RCT,Tomisawa T,2019,Effects of Blackcurrant Anthocyanin on Endothelial Function and Peripheral  Temperature in Young Smokers.,10.3390/molecules24234295,,include,include,include,
4,PubMed-RCT,do Rosario V,2026,The effect of anthocyanins through diet and supplementation on cognitive function  in older adults: a multi-centre randomised controlled clinical trial.,10.1039/d5fo05366h,,exclude,exclude,exclude,Other reason not meeting eligibility criteria
5,PubMed-RCT,Mekhora C,2026,"Impact of anthocyanin-rich black rice consumption on cognitive function,  inflammation and microvascular function in older adults: a crossover intervention trial.",10.1039/d5fo04351d,,exclude,exclude,exclude,Other reason not meeting eligibility criteria
6,PubMed-RCT,Arisi TOP,2023,"Dietary intake of anthocyanins improves arterial stiffness, but not endothelial  function, in volunteers with excess weight: A randomized clinical trial.",10.1002/ptr.7659,,include,include,include,
7,PubMed-RCT,Shan Y,2023,New Zealand Blackcurrant Increases Postexercise Hypotension Following Sustained  Moderate-Intensity Exercise.,10.1123/ijsnem.2023-0014,,include,include,include,
8,PubMed-RCT,Ahles S,2026,"Aronia melanocarpa extract supplementation affects brain vascular function and  cognitive performance: A randomized, double-blind, placebo-controlled, cross-over study in older adults with overweight or obesity.",10.1016/j.clnu.2025.106561,,include,include,include,
9,PubMed-RCT,Zhu Y,2011,Purified anthocyanin supplementation improves endothelial function via NO-cGMP  activation in hypercholesterolemic individuals.,10.1373/clinchem.2011.167361,,include,include,include,
10,PubMed-RCT,Amini AM,2025,"Acute Effects of an Anthocyanin-Rich Blackcurrant Beverage on Markers of  Cardiovascular Disease Risk in Healthy Adults: A Randomized, Double-Blind, Placebo-Controlled, Crossover Trial.",10.1016/j.tjnut.2025.05.017,,include,include,include,
11,PubMed-RCT,Li L,2020,Blood Orange Juice Consumption Increases Flow-Mediated Dilation in Adults with  Overweight and Obesity: A Randomized Controlled Trial.,10.1093/jn/nxaa158,,include,include,include,
12,PubMed-RCT,Pekas EJ,2021,Combined anthocyanins and bromelain supplement improves endothelial function and  skeletal muscle oxygenation status in adults: a double-blind placebo-controlled randomised crossover clinical trial.,10.1017/s0007114520002548,,include,include,include,
13,PubMed-RCT,do Rosario VA,2021,"Anthocyanins attenuate vascular and inflammatory responses to a high fat high  energy meal challenge in overweight older adults: A cross-over, randomized, double-blind clinical trial.",10.1016/j.clnu.2020.09.041,,include,include,include,
14,PubMed-RCT,Hassellund SS,2012,Effects of anthocyanins on blood pressure and stress reactivity: a double-blind  randomized placebo-controlled crossover study.,10.1038/jhh.2011.41,,include,include,include,
15,PubMed-RCT,Castro-Acosta ML,2016,"Drinks containing anthocyanin-rich blackcurrant extract decrease postprandial  blood glucose, insulin and incretin concentrations.",10.1016/j.jnutbio.2016.09.002,,exclude,exclude,exclude,Other reason not meeting eligibility criteria
16,PubMed-RCT,Tucci M,2024,"A serving of blueberry (Vaccinium corymbosum) improves peripheral vascular  function but not metabolic and functional markers in older subjects: A randomized, controlled, crossover study.",10.1016/j.foodres.2024.115189,,include,include,include,
17,PubMed-RCT,Igwe EO,2020,"Low anthocyanin plum nectar does not impact cognition, blood pressure and gut  microbiota in healthy older adults: A randomized crossover trial.",10.1016/j.nutres.2020.08.003,,include,include,include,
18,PubMed-RCT,Cook MD,2020,"Effect of New Zealand Blackcurrant on Blood Pressure, Cognitive Function and  Functional Performance in Older Adults.",10.1080/21551197.2019.1707740,,include,include,include,
19,PubMed-RCT,Rodriguez-Mateos A,2014,Impact of processing on the bioavailability and vascular effects of blueberry  (poly)phenols.,10.1002/mnfr.201400231,,exclude,exclude,exclude,Other reason not meeting eligibility criteria
